date,startup,vertical,subvertical,city,investors,round,amount,month,year
2019-07-11,Moglix,ecommerce,Industrial Tools and Equipments,Singapore,"Composite Capital Management, Sequoia Capital India, Tiger Global Management",Series D,60.0,7,2019
2019-07-10,Ezyhaul,tech,Logistics,Singapore,Undisclosed,Series B,16.0,7,2019
2019-07-10,Indus OS,tech,Smartphone Operating System,Andheri,Ventureast,Series B,5.75,7,2019
2019-07-10,HealthAssure,health care,Primary care medical network,Mumbai,Blume Ventures,Series A,2.5,7,2019
2019-07-09,House of Msasaba,luxury label,Clothes and Apparel,Mumbai,Binny Bansal,Series A,1.0,7,2019
2019-07-08,Board Infinity,edtech,Full-stack career platform,Chembur,Multiple Angel Investors,Angel Round,0.319605,7,2019
2019-06-05,NoBroker,ecommerce,Real Estate,Bengaluru,General Atlantic,Series C,51.0,6,2019
2019-06-04,Bira91,food and beverage,Brewery,New Delhi,Anicut Capital,Debt Funding,10.0,6,2019
2019-06-03,Avail Finance,finance,FinTech,Bengaluru,Matrix Partners,Series A,9.0,6,2019
2019-06-04,BharatPe,finance,FinTech,New Delhi,Insight Partners,Series B,75.0,6,2019
2019-06-04,Recykal,waste management service,Optimization,Hyderabad,"Triton Investment Advisors, Pidilite Industries director Ajay Parekh",pre-Series A,26.0,6,2019
2019-06-03,Agara Labs,deeptech,Artificial Intelligence,Bengaluru,Blume Ventures and RTP Global,pre-Series A,2.5,6,2019
2019-06-06,Chakr Innovation,energy,Renewable Energy,New Delhi,IAN Fund,Series A,26.0,6,2019
2019-06-10,Bolo App,digital media,Video Platform,Bengaluru,Nexus Venture Partners,Seed Funding,0.4302,6,2019
2019-06-10,OkCredit,fintech,Financial Services,Haryana,Tiger Global Management,Series A,15.5,6,2019
2019-06-06,Biz2Credit,fintech,Online Lending Platform,New York,WestBridge Capital,Series B,52.0,6,2019
2019-06-08,Vogo Automotive Pvt. Ltd.,transportation,Dockless Scooter Rental Company,Karnataka,Alteria Capital,Debt Funding,3.584,6,2019
2019-06-04,Leegality,services,Digital Documentation,Mumbai/Bengaluru,Mumbai Angels,Series A,3.4,6,2019
2019-05-06,Ola Electric,transport,Cabs,Bengaluru,Tata Sons,Series A,0.0,5,2019
2019-05-06,Saahas Zero Waste,waste management service,Optimization,Bengaluru,C4D Partners,Venture - Series Unknown,0.8686,5,2019
2019-05-05,StyleDotMe,ecommerce,Fashion and Shopping,Delhi,"Indian Angel Network and other angel investors, Innov8 founder Ritesh Malik, Josh Talks founders Supriya Paul and Shobha Banga, and former Hero Corporate president Rohit Chanana",Bridge Round,0.0,5,2019
2019-05-01,BlackBuck,transport,Logistics,Bengaluru,"Goldman Sachs Investment Partners and Silicon Valley-based Accel, Wellington, Sequoia Capital, B Capital, LightStreet, Sands Capital and International Finance Corporation,",Series D,150.0,5,2019
2019-05-02,Zenoti,saas,Beauty and Wellness Industry,Hyderabad,Tiger Global Management,Series C,50.0,5,2019
2019-05-28,Ather Energy,automobile,Electric Vehicle,Bengaluru,Sachin Bansal,Series C,51.0,5,2019
2019-05-28,FreshVnF,agtech,Fresh Agriculture Produces,Mumbai,Equanimity Ventures,Seed Round,140.0,5,2019
2019-05-30,GlowRoad,ecommerce,Retail,Bengaluru,"Korea Investment Partners, Vertex Ventures",Series B,11.5,5,2019
2019-05-31,Bira91,food and beverage,Brewery,New Delhi,Sixth Sense Ventures,Series B,5.6,5,2019
2019-04-16,Kuvera,finance,Wealth Management,Bengaluru,Eight Roads,Series A,45.0,4,2019
2019-04-12,Medlife,ecommerce,Online Medicine,Bengaluru,Prasid Uno Family Trust,Private Equity,17.0,4,2019
2019-04-10,Kabadiwala,ecommerce,Waste Management,Bhopal,"Unilever, Beehive Capital Advisor, ABCOM Investments, Parekh Marine Transport,",Private Equity,0.430665,4,2019
2019-04-13,Tripoto,social media,Travel,New Delhi,"Orchid India, Hornbill Orchid India Fund, Chiratae Ventures (formerly IDG Ventures), 3one4 Capital, Lasmer NV",Series B,3.591375,4,2019
2019-04-12,Azah,health and wellness,Organic wellness,Gurugram,Unnamed angel investors,Seed Funding,0.2,4,2019
2019-04-11,Setu,fintech,Banking,Bengaluru,Lightspeed India Partners,Seed Funding,3.5,4,2019
2019-04-10,Toppr,edtech,E-learning,Mumbai,Milestone,Debt and Preference capital,6.32082,4,2019
2019-04-10,Craftsvilla,ecommerce,Fashion and Apparel,Mumbai,Supera Pte Ltd,Inhouse Funding,2.443495,4,2019
2019-04-10,Unacademy,edtech,E-learning,Bengaluru,Kalyan Krishnamurthy,Seed/ Angel Funding,0.307,4,2019
2019-04-11,CleverTap,saas,Mobile analytics and marketing,Mumbai,"Sequoia India, Tiger Global Management, Accel Partners",Series B,26.0,4,2019
2019-04-19,My Healthcare,ecommerce,Software Solutions,Bengaluru and Gurugram,Sixth Sense Ventures,Series A,3.0,4,2019
2019-04-17,Shuttl,transportation,Bus Aggregation,Gurugram,New Atlantic Ventures,Venture Round,5.0,4,2019
2019-04-17,Increff,technology,Supply-chain technology solutions,Bengaluru,"021 Capita, Binny Bansal",Series A,3.0,4,2019
2019-02-01,FleetX,ai,Logistics,Gurgaon,India Quotient and LetsVenture\\xe2\\x80\\x99s Angel Fund,Pre Series A,0.0,2,2019
2019-02-08,Zilingo,ecommerce,Fashion & Apparel,India/Singapore,"Sequoia Capital and Temasek Holdings, EDBI, Burda Principal Investments, and Sofina",Series D,226.0,2,2019
2019-02-13,NanoClean Global,nanotechnology,Anti-Pollution,New Delhi,"LetsVenture, PitchRight Venture, 91SpringBoard, AL Nour International Holdings and Mark V Investments",Series A,0.6,2,2019
2018-02-14,OyoRooms,hospitality,Budget Rooms,Gurgaon,DiDi Chuxing,Equity,100.0,2,2018
2019-01-03,CarDekho,automobile,Online Marketplace,Jaipur,"Sequoia India, Hillhouse Capital, Alphabet\\xe2\\x80\\x99s growth investment arm Capital G and Axis Bank",Series C,110.0,1,2019
2019-01-04,Vyome Therapeutics Inc.,health and wellness,Specialty pharmaceutical,India/US,"Iron Pillar, Perceptive Advisors, Romulus Capital and Kalaari Capital",Series D,22.0,1,2019
2019-01-04,Samunnati Financial Intermediation & Services Pvt. Ltd,finance,Non-banking financial company,Chennai,"MASSIF, a Dutch government fund",Debt-Funding,5.0,1,2019
2018-12-04,Manch,social media,Hyperlocal Content,Delhi,Stellaris Venture Partners,Seed Funding,0.7,12,2018
2018-12-01,UrbanClap Technologies Pvt. Ltd,services platform,Home services marketplace,New Delhi,Steadview Capital and Vy Capital.,Series D,50.0,12,2018
2018-12-02,Guiddoo,travel tech,Platform for travel agents,Mumbai,Individual Investors,Pre-Series A,0.8,12,2018
2018-12-02,Career Anna,online education,"Video-based certification, trainings",Gurugram,Individual Investors,Pre-Series A,0.572,12,2018
2018-12-04,Nagpur Wholesale,online marketplace,eCommerce,Nagpur,Omphalos Ventures India LLP,Seed Funding,0.143,12,2018
2018-12-06,ShopKirana,b2b,eCommerce,Indore,"Info Edge, AET Fund, Akatsuki and Incubate Fund from Japan and Better Capital AngelList syndicate.",Seed Funding,2.0,12,2018
2018-12-06,BuildSupply,"saas, ecommerce","Real Estate, ERP",Gurugram,"Venture Highway, GREE Ventures, Space Matrix, Individual Investors",Series A,3.5,12,2018
2018-11-01,GoDesi,food and beverage,Regional Flavours,Bengaluru,Lead Angels Network,Seed/ Angel Funding,0.138995,11,2018
2018-11-03,Veritas Finance Ltd.,nbfc,MSME Finance,Chennai,"Norwest Venture Partners, CDC Group, the UK\\xe2\\x80\\x99s Development Finance Institution and P Surendra Pai",Series D,27.799,11,2018
2018-11-06,Meesho,ecommerce,Social Commerce,Bengaluru,"Shunwei Capital, DST Partners and RPS Ventures",Series C,50.0,11,2018
2018-11-08,Mobile Premier League,gaming,Mobile e-Sports,Bengaluru,Undisclosed,Series A,0.5,11,2018
2018-11-08,A&R Bon Vivants,food,Meat Retail Chain,Jaipur,"RB Investments, Singapore",Equity,1.0,11,2018
2018-11-12,Blackbuck,food tech,POS For Online Ordering,"New York, Bengaluru",Tiger Global,Series A,1.0,11,2018
2018-11-12,MilkBAsket,food,Micro-delivery grocery service,New Delhi,Mayfield Fund,Series B,1.3,11,2018
2018-11-13,DriveU,transport,On-Demand Drivers,Bengaluru,Stevens Creek Ventures,Mezzanine,1.0,11,2018
2018-11-14,CleanseCar,services,Car Wash,Bengaluru,Venture Catalysts,Seed/ Angel Funding,0.5,11,2018
2018-11-19,Automation Anywhere,automation,Robotics,California,SoftBank Vision Fund,Series B,300.0,11,2018
2018-11-20,HealthifyMe,health and wellness,Wellness Coach,Bengaluru,"Sistema Asia Fund, VC Samsung NEXT, Chiratae Ventures, Inventus Capital, Blume Ventures and Innoven Capital.",Series B (Extension),6.0,11,2018
2018-11-21,Genius Corner,education,Personalized Learning,Noida,Individual investors,Seed Funding,0.278,11,2018
2018-11-22,Aavishkaar-Intellecap Group,investment,SME Funding,Mumbai,Teachers Insurance and Annuity Association (TIAA),Equity Based Funding,31.0,11,2018
2018-11-22,Skillbox,social network,Art,Gurugram,Individual investors,Seed Funding,0.0,11,2018
